",""Овны"",""Тельцы"",""Близнецы"",""Рак"",""Лев"",""Дева"",""Весы"",""Скорпион"",""Стрелец"",""Козерог"",""Водолей"",""Рыбы"",""date""";;;;
"1,"" Вы склонны считать неразрешимой проблему, которая таковой вовсе не является. Не стоит отравлять себе жизнь пустыми переживаниями, а то как бы судьба не подбросила вам реальный повод для расстройства. <U+2649><U+FE0F> "","" Сегодня наилучшим образом вы будете себя чувствовать полностью во что-нибудь погрузившись. Если вы не любитель продолжительных водных процедур, значит это будет книга или авантюра - на выбор. <U+264A><U+FE0F> "","" Вокруг вас сегодня может собраться слишком много людей, советующих вам как жить дальше, чтобы их можно было выносить. Придется поискать какое-нибудь убежище, иначе день этот не принесет ничего, кроме раздражения. <U+264B><U+FE0F> "","" Сегодняшний день будет зависеть от того, как вы его начнете, сможете ли поймать верный ритм действий. Не позволяйте слишком себя торопить, это приведет лишь к полной недееспособности. <U+264C><U+FE0F> "","" Сегодня вас, возможно, будет мучить ощущение, что вы совершили ошибку и потратили время и деньги впустую. Не стоит мучить себя подобными мыслями, тот факт, что ожидаемый результат задерживается, еще не означает, что его не будет вовсе. <U+264D><U+FE0F> "","" Сегодня вы одержите пусть небольшую, но победу. Этот день принесет вам уважение окружающих. <U+264E><U+FE0F> "","" Сегодня не стоит ни на шаг отходить от собственных принципов. Принципиальность будет оценена по достоинству, а положительная оценка всегда полезна, от кого бы она ни исходила. <U+264F><U+FE0F> "","" Не позвольте упрямству или непониманию, а этим вы и будете грешить сегодня, обречь вас на одиночество. Лучше уступить. <U+2650><U+FE0F> "","" Сегодня для вас не будет ничего невозможного. Правда, вы рискуете потратить слишком много времени на любование собственным могуществом. Если вам удастся сократить этот процесс, то, вполне вероятно, что день будет продуктивным. <U+2651><U+FE0F> "","" Поищите смешную сторону во всякой дурацкой ситуации, в которую попадете. Обхохочетесь, ибо сегодня их будет предостаточно. <U+2652><U+FE0F> "","" Сегодня ваш творческий потенциал вырастет до такой степени, что просто перестанет в вас помещаться. Хольте его, лелейте, и не забывайте использовать на всю катушку. <U+2653><U+FE0F> "","" Не ешьте сегодня на завтрак тяжелой пищи, это поможет вам сохранить хорошее настроение до конца дня. На работе постарайтесь остаться в стороне от излишне горячих дискуссий.@tvoygoroskopru <U+0001F95D>"",""13 декабря""";;;;
"2,"". 3 января. <U+2728>Овны — кто-то безумно скучает по Вам.. Но, ох уж это чертово расстояние...<U+2649>"","". 3 января. <U+2728>У Тельца в жизни с сегодняшнего дня начинается длинная и затяжная белая полоса..<U+264A>"","". 3 января. <U+2728>Близнеца бесит, когда теряются люди. А спустя месяцы они приползают и начинают нести какой-то бред о дружбе, о любви или о том, что скучали..<U+264B> Рак. 3 января. <U+2728>Рак уже больше не верит словам. Ему их говорили слишком часто.. Настолько часто, что у "",""а уже выработался иммунитет к балаболам..<U+264C>"","". 3 января. <U+2728>Львам не нужен идеальный человек. Им нужен тот, с кем они смогут дурачиться, кто-то, кто будет к ним хорошо относиться и кому нравиться быть с ними больше, чем все остальное. И каждому из вас, я думаю, тоже нужен такой человек.<U+264D>"","". 3 января. <U+2728>Девы — скоро в Вашей жизни появится человек, который поможет забыть Вам прошлое.. Да, что там прошлое — с ним рядом Вы забудете обо всем на свете и всецело отдадитесь любви и нежности!<U+264E>Весы. 3 января. <U+2728>Да, Весы с болью переживают, когда кто-то ни с того, ни с сего уходит из их жизни.. Но, "","" сильные.. Они сумеют найти замену всякому, кто их предал.. Но тех людей, кто остался — Они будут ценить, любить и беречь, как зеницу ока..<U+264F>Скорпион. 3 января. <U+2728>Завоевать "",""а не так уж и сложно, достаточно просто всегда быть с Ним рядом, заставлять Его смеяться, любить Его, обожать, не оставлять в трудную минуту и никогда не оставлять..))<U+2650>"","". 3 января. <U+2728>Стрельцы — буквально на днях с Вами случится что-то, что полностью изменит Ваши планы .. В офигительную сторону!<U+2651>Козерог. 3 января. <U+2728>У Козерогов в жизни скоро все наладится, Их ждет вино, конфеты и массаж! И пусть весь мир к чертям собачьим катится! У "",""ов будет все, блин, супер! Класс!))<U+2652>"","" .3 января. <U+2728>Водолеи — кто-то очень-очень Вас ревнует.. Ревнует и медленно сходит с ума.. Но не говорит Вам об этом, потому что думает, что Вам на него абсолютно пофиг.. А ведь это не так..<U+2653>Рыбы. 3 января. <U+2728>"","" — этот январь подарит Вам красивые, нежные, крепкие и долгие-долгие отношения с человеком, который будет любить Вас больше жизни.@tvoygoroskopru <U+0001F95D>"",""3 января""";;;;
"3,"". 4 января. <U+2728>Овны - Вы думали отметили Новый Год и всё!? Нифига!!! Вы будете праздновать и отрываться по-полной еще, как минимум неделю!!!))<U+2649>"","". 4 января. <U+2728>Тельцы — январь станет для Вас месяцем больших побед и принятия очень важных решений.. Вас ждет очень большой успех в 2018-м году!!!<U+264A>Близнецы. 4 января. <U+2728>"","" — январь станет для Вас месяцем крутых душевных посиделок, празднований, алкоголя, новых знакомств, вкусняшек и позитива.. Всё, как Вы любите..<U+264B>Рак. 4 января. <U+2728>"",""и — этот январь будет непрост, иногда будет очень трудно.. Но, так надо.. Зато потом у Вас начнется огромная длинная затяжная белая полоса!)) Вы будете самыми счастливыми людьми на Земле..<U+264C> Лев. 4 января. <U+2728>Лев до сих пор не может поверить в то, что Он уже не в 2017-м, а в 2018-м.. Но, уже совсем скоро "","" поймет насколько этот год офигительней чем прошлый..<U+264D>"","". 4 января. <U+2728>В Новом Году Девы хотят, чтобы началась новая жизнь. Попрощаться с ненужными людьми. Чтобы окружали только верные, искренние друзья. Чтобы любимый человек был рядом. Родители жили долго-долго. И, чтобы исполнились все их мечты.<U+264E>Весы. 4 января. <U+2728>"","" - то, что Вы загадали себе на Новый Год начнет потихоньку сбываться уже со следующей недели..))<U+264F>Скорпион. 4 января. <U+2728>"",""ы — в этом январе с Вами случится очень много хороших вещей, которые раз и навсегда изменят Вашу жизнь.. Со многими людьми придется попрощаться, а многие вещи выбросить.. Но, так нужно.. Вы наконец-то вздохнете с облегчением и заживете счастливой беззаботной жизнью..))<U+2650>"","". 4 января. <U+2728>Стрельцы — январь станет для Вас месяцем офигительных знакомств, свиданий, приключений и больших позитивных перемен в личной жизни.. Готовьтесь..))<U+2651> Козерог. 4 января. <U+2728>Козероги — этот январь подарит Вам счастье.. Самое настоящее счастье.. Да-да, "",""и — оно накроет Вас с головой..))<U+2652>"","". 4 января. <U+2728>Водолеи — Дед Мороз услышал Ваше Новогоднее пожелание.. И решил, что таки-да.. Скоро Оно начнет исполнятся..))<U+2653>Рыбы. 4 января. <U+2728>"","" — Вас ждет какая-то очень большая внезапная радость..@tvoygoroskopru <U+0001F95D>"",""4 января""";;;;
"4,"". 5 января. <U+2728>Овны - в Вашей жизни вот-вот должно произойти кое-что очень важное.. Важное, доброе, чистое и светлое.. С минуты на минуту..<U+2649>"","" . 5 января. <U+2728>Тельцов запарила вся эта фигня , Тельцы хотят любви, большой и чистой.. Не той фигни, что в """"50 оттенков серого"""", а такой, как в """"Ромео и Джульетте"""".. Чтобы вместе и навсегда..<U+264A>Близнецы. 5 января. <U+2728>Если Близнец чего-то или кого-то захотел.. То это все.. У этого объекта нет шансов.. Близнец заполучит его любой ценой.. Да-да, "","" такие..<U+264B> Рак . 5 января. <U+2728>"",""и - качайте руки..)) Ваши руки должны быть сильными для того, чтобы унести тот офигительно огромный подарок, который приготовила для Вас судьба..)<U+264C>Лев. 5 декабря. <U+2728>Пусть исчезнут войны и теракты! "","" за МИР, ЛЮБОВЬ и половые акты!<U+264D>"","". 5 декабря. <U+2728>Девы - сегодня Вас ждет 50 оттенков любви, блаженства и наслаждения..<U+264E>Весы. 5 декабря. <U+2728>"","" — в Вас офигенно влюбится один очень ласковый мерзавец.. Ждите приключений..<U+264F>Скорпион. 5 декабря. <U+2728>Вы даже не представляете себе, как "",""ы запарились. Душевно.. Как же им хочется уехать туда, где люди добрей, чувства теплей и взаимной и много много много теплого океана..<U+2650>"","". 5 декабря. <U+2728>В каждом Стрельце, живет маленькая психованная истеричка. Факт.<U+2651>Козерог. 5 января. <U+2728>Козероги - у Вас появился тайный поклонник, который просто изнемогает одинокими холодными ночами без Вас.. Все его мысли заняты только Вами.. Он реально бредит Вами.. Это пипец, "",""и.. Что ж Вы творите-то?<U+2652>"","". 5 января. <U+2728>Водолеи - научитесь отпускать людей.. Ведь те, кто Вас любят и ценят будут с Вами ни смотря ни на что!!!!<U+2653>"","". 5 января. <U+2728>Рыбам так приятно осознавать, что где-то за них переживают, где-то по ним скучают, любят и ждут.@tvoygoroskopru <U+0001F95D>"",""5 января""";;;;
"5,"". 6 января. <U+2728>Овны, пора начинать спать по ночам!<U+2649><U+FE0F> "","". 6 января. <U+2728>Тельцы часто говорят, что всё нормально, а ночью задыхаются от боли..<U+264A><U+FE0F>Близнецы. 6 января. <U+2728>Когда Близнецов называют """"солнышко"""" — они светятся. когда называют """"любимая""""- они любят. когда называют """"моя нежная"""" — они задаривают ласками. а когда вы молчите - они становятся равнодушными. всё очень просто. "","" взаимны до невозможности.<U+264B><U+FE0F>Рак. 6 января. <U+2728>"",""и, все будет так как вы мечтаете, только подождите!<U+264C><U+FE0F>"","". 6 января. <U+2728>Вот теперь-то у Львов всё будет хорошо. Можете не сомневаться. Это белая полоса.<U+264D><U+FE0F>"","". 6 января. <U+2728>У Девы в голове одно имя.<U+264E><U+FE0F>Весы. 6 января. <U+2728>"","", чем больше внимания вы уделяете человеку – тем больше ему плевать на вас. Запомните!!!<U+264F><U+FE0F>Скорпион. 6 января. <U+2728>"",""ов уже абсолютно ничего не расстраивает и не удивляет. всё """"окей"""" в любом случае.<U+2650><U+FE0F>"","". 6 января. <U+2728>В жизни Стрельцов сейчас есть один человек, ради звонка которого они проснутся даже три часа ночи.<U+2651><U+FE0F>Козерог. 6 января. <U+2728>Люди — не говорите Козерогу """"люблю"""", если не готовы подтвердить свои слова делами.. "","" Вам этого не простит.. А вернуть Его доверие будет уже невозможно..<U+2652><U+FE0F>"","". 6 января. <U+2728>Рассказать вам, от чего Водолеи становятся черствым и циничным? От того, что их предавали, бросали или меняли на других людей, за которых они могли отдать если не все, то очень многое.<U+2653><U+FE0F>Рыбы. 6 января. <U+2728>Мандаринки, объятия любимого человека и мартини — вот, что сейчас нужно Рыбам.. Ах, да — и массаж еще.. Хороший такой, добротный массаж! "","" — не печальтесь, совсем скоро все будет!))@tvoygoroskopru <U+262F><U+FE0F>"",""6 января""";;;;
"6,"". 17 марта. Сегодня вашему любимому человеку будет стыдно за какие-то свои поступки или даже мысли, причем стыдно перед вами. Если вы считаете, что у него нет никаких оснований для подобных чувств, постарайтесь его в этом убедить как можно быстрее, для вашего же блага и для блага ваших отношений.<U+2649><U+FE0F>"","". 17 марта. Тельцы нынче сами выкуют своё счастье. Но кто-то может перепутать лекала, и у него получится не совсем то, что нужно. Руководствуйтесь в принятии решений (а сегодняшние могут очень здорово повлиять на вашу жизнь) и чувствами, и разумом. Складывать всю ответственность на одного из этой пары не стоит - не справится.<U+264A><U+FE0F>"","". 17 марта. Сегодня звезды рекомендуют вам с вашим любимым человеком посмотреть вместе какой-нибудь веселый, интересный и занимательный фильм, который обязательно поднимет ваше настроение и подкинет пару-тройку тем для дальнейшего обсуждения, а значит, сделает вас ближе друг другу.<U+264B><U+FE0F>"","". 17 марта. Расслабьтесь и пустите все на самотек. Даже если у вас с вашим любимым человеком на данный момент возникают какие-то проблемы, сегодня вы их решить все равно не сможете: не хватит ни душевных, ни физических сил. Единственное, что вы можете сделать - это убедить себя в верности жизненного правила: «Упремся — разберемся».<U+264C><U+FE0F>"","". 17 марта. В этот день ваш любимый человек не будет соответствовать вашим представлениям о том, каким он должен быть в идеале, поэтому множество придирок с вашей стороны неизбежно. Но, в конце концов, он не виноват, что так получилось и что вы придумали для себя недосягаемый идеал.<U+264D><U+FE0F>"","".17 марта. Сегодня вашему любимому человеку предстоит нелёгкий день, и только вы сможете сделать всё возможное для того, чтобы день этот стал для него куда светлее, ярче, солнечнее и радостнее. Вы даже не представляете, на какие чудеса способны, стоит только этого действительно захотеть!<U+264E><U+FE0F>"","". 17 марта. Ваш сегодняшний день будет грустен и безрадостен, поэтому вам стоит подготовиться к этому заранее и вашего любимого человека к этому подготовить. Пусть он не удивляется вашим стремительным перепадам настроениям и периодическим срывам на крик. И вы постарайтесь сдерживаться.<U+264F><U+FE0F>"","". 17 марта. Сегодня вам стоит подумать не только о том, насколько вам хорошо с вашим любимым человеком, но и о том, как ваш тандем воспринимают окружающие. Если не совсем благоприятно, то, может быть, стоит пересмотреть ваше поведение на людях, сделать его более адекватным?..<U+2650><U+FE0F> "","". 17 марта. Помимо вашего любимого человека в мире есть ещё множество людей, которым вы дороги. Поэтому даже если сегодня между вами разгорится ссора, плавно перетекающая в скандал и грозящая расставанием, это не конец света. Во-первых, в итоге все равно все будет хорошо, а во-вторых, в любом случае в гордом одиночестве вы не останетесь.<U+2651><U+FE0F>"","". 17 марта  Вы сегодня можете всерьез задуматься о смене работы. Но пусть даже вы недовольны всем: местом, где работаете, служебным положением, зарплатой - не надо спешить. Оценивайте свои возможности реально.<U+2652><U+FE0F>"","". 17 марта. Сегодня вашему любимому человеку будет непросто уговорить вас на какой-то поступок, который с его точки зрения будет более чем правильным, естественным и логичным, а с вашей - апофеозом безумства и нелогичности. Компромисса, увы, звёзды тут не видят: придётся делать выбор.<U+2653><U+FE0F> "","". 17 марта. Сегодня ваш любимый человек узнает о вас что-то такое, о чём вы не хотели ему по тем или иным причинам говорить. Не самая приятная ситуация, но она может окончиться и хорошо, если он лишь удивлённо поинтересуется, почему же вы раньше молчали, ведь всё могло быть куда проще.@moygoroskop <U+262F><U+FE0F>"",""17 марта""";;;;
"7,"". 18 марта Сегодня вы рискуете откусить больше, чем сможете прожевать. Постарайтесь умерить аппетит.<U+2649><U+FE0F> "","". 18 мартаСегодня самое время, чтобы кто-то понял, каким сокровищем вы являетесь. Отполируйте свои достоинства, и это непременно произойдет.<U+264A><U+FE0F> "","". 18 мартаЧем бы вы сегодня не занимались, время ваше зря потрачено не будет.<U+264B><U+FE0F> "","". 18 мартаСегодняшний день стоит посвятить обогащению своего внутреннего мира. Он как нельзя лучше подходит для общения с прекрасным и прочих тихих занятий.<U+264C><U+FE0F> "","". 18 мартаСегодня ваши возможности будут весьма велики, но вы их не увидите и, соответственно, не сможете воспользоваться ими до тех пор, пока не сумеете освободиться от влияния ближайшего окружения. Лучшее средство в подобных случаях - расстояние.<U+264D><U+FE0F> "","". 18 мартаСегодня может произойти занятная ошибка - вас примут за кого-то другого. Так что не стоит особенно недоумевать, если совершенно незнакомый вам человек вдруг хлопнет вас по плечу и осведомится о здоровье вашей любимой таксы.<U+264E><U+FE0F> "","". 18 мартаСегодня вам, возможно, будет трудно собраться с мыслями и еще труднее решиться на какие-либо активные действия. Не стоит стараться пересилить упрямый организм, он таких вещей не прощает.<U+264F><U+FE0F> "","". 18 мартаСегодня вам придется очень быстро шевелить мозгами. Обеспечьте надлежащий за ними уход, как бы не перегрелись.<U+2650><U+FE0F> "","" . 18 мартаСегодня не стоит слишком ограничивать себя морально-этическими нормами. Удовлетворите пару-тройку своих желаний, в противном случае, они вас со свету сживут.<U+2651><U+FE0F> "","". 18 мартаВы сегодня можете всерьез задуматься о смене работы. Но пусть даже вы недовольны всем: местом, где работаете, служебным положением, зарплатой - не надо спешить. Оценивайте свои возможности реально.<U+2652><U+FE0F> "","". 18 мартаСегодня близкие ваши будут на удивление лояльны по отношению к вашим действиям и внимательны к вашим словам. Воспользуйтесь удачным моментом.<U+2653><U+FE0F> "","". 18 мартаСегодня вы будете комфортно себя чувствовать в любой компании, ощущая себя частью чего-то большого и нужного. Вам на редкость легко будет сдержать любое обещание, что, правда отнюдь не является основанием, чтобы раздавать их направо и налево.@moygoroskop <U+262F><U+FE0F>"",""18 марта""";;;;
"8,"". 22 марта Если вам сегодня захочется чего-нибудь новенького и неожиданного, сходите в ресторан и закажите какое-нибудь непонятное блюдо. Поверьте, это окажется самым дешевым и безболезненным способом удовлетворить свое желание.<U+2649><U+FE0F> "","". 22 мартаВаш неуемный оптимизм послужит сегодня причиной того, что вы взвалите на себя непосильный груз, и, как это ни странно, дотащите его по назначению. Но надорветесь.<U+264A><U+FE0F> "","". 22 мартаСегодня все будет как-то не так. Тот, к кому вы хотели бы проявить внимание, оттолкнет вас, и, напротив, желая побыть в одиночестве, вы окажетесь в окружении шумной толпы пристающих к вам людей.<U+264B><U+FE0F> "","". 22 мартаВаши шансы на успех сегодня велики как никогда. Ваши соперники могут победить только в том случае, если сумеют спровоцировать вас на резкую смену курса деятельности.<U+264C><U+FE0F> "","". 22 мартаУдалите финансовые вопросы из уравнения, описывающего сегодняшний день. В этом случае его удастся успешно разрешить. Если же все ваши проблемы - финансовые, то их лучше немного отложить.<U+264D><U+FE0F> "","". 22 мартаНе дайте легкому изящному беспорядку перерасти в полнейший хаос. Сохраняйте спокойствие и постарайтесь не дать ситуации управлять вами.<U+264E><U+FE0F> "","". 22 мартаСегодня вас будет снедать нетерпение. Либо вы позволите ему доесть себя до основания, либо с помощью небольшого усилия воли преобразуете его в более полезный вид энергии. Выбирайте.<U+264F><U+FE0F> "","". 22 мартаСегодня у вас откажет та функция, которая отвечает за умеренность. Вы с большой вероятностью либо слишком много скушаете, либо выпьете, либо... э-э-э, перестараетесь, стремясь получить удовольствие несколько иного плана.<U+2650><U+FE0F> "","" . 22 мартаСегодня вам стоит попытаться найти невидимую точку равновесия между личными чувствами и взаимоотношениями с другими людьми. Постарайтесь наломать не слишком много дров, их уже и так в избытке.<U+2651><U+FE0F> "","". 22 мартаСегодня вам стоит продемонстрировать мягкость характера и готовность простить и забыть кому-то почти все прегрешения. Тем более что повод будет.<U+2652><U+FE0F> "","". 22 мартаСегодня вы будете легко впадать в ярость, и, хотя успокаиваться вы тоже будете быстро, лучше, все-таки, за этими приступами следить. Они могут сыграть с вами дурную шутку.<U+2653><U+FE0F> "","". 22 мартаСегодня вас будут высоко оценивать самые разные люди, и все без исключения станут добиваться вашего внимания. Нынче вы вполне можете позволить себе покапризничать и не сразу принимать предложения, чтобы не спеша выбрать лучшее.@moygoroskop <U+262F><U+FE0F>"",""22 марта""";;;;
"9,"". 28 марта Сегодня вы можете основательно навредить как собственному душевному спокойствию, так и физическому здоровью. Будьте максимально осмотрительны, винить кроме себя будет некого.<U+2649><U+FE0F> "","". 28 мартаСегодня вы можете почувствовать себя Алисой, беседующей с Мартовским Зайцем. Слишком уж сложной задачей может оказаться вычленение осмысленной части из разговора, который вам придется поддерживать.<U+264A><U+FE0F> "","". 28 мартаСегодня вы будете знать ответы на все вопросы. Будьте же благосклонны к окружающим, не скрывайте от них своего знания.<U+264B><U+FE0F> "","". 28 мартаВ зависимости от того, предпочитаете ли вы тратить деньги, или их зарабатывать, сегодня вам стоит заняться противоположным делом. В этом случае вам гарантирован выигрыш.<U+264C><U+FE0F> "","". 28 мартаНе воспаряйте в своих мечтах особенно высоко. Сегодня вам слишком сложно будет вернуться. Так и останетесь висеть, как Винни Пух на воздушном шарике. А вокруг пчелы... И вниз, между прочим, падать больно...<U+264D><U+FE0F> "","". 28 мартаСегодня лучшей инвестицией в дело собственного благополучия будет любое бескорыстное деяние. Воздастся вам, конечно, не сразу, но когда-нибудь - непременно.<U+264E><U+FE0F> "","". 28 мартаНельзя сказать, что все ваши сегодняшние дела обречены на успех, но у вас есть все необходимое для его достижения. Остерегайтесь одушевленных препятствий.<U+264F><U+FE0F> "","". 28 мартаСегодняшний день будет очень спокойным и, даже, где-то в чем-то приятным. Может возникнуть лишь одна проблема - если вы с кем-нибудь познакомитесь сегодня, вам придется быть осмотрительным в общении с этим человеком. Он может принести неприятности.<U+2650><U+FE0F> "","" . 28 мартаСегодня вас ждет весьма мрачная перспектива. Целый день вас будут атаковать довольно противные особи, к вечеру же вы рискуете оказаться в лапах персоны, вызывающей у вас крайнюю степень раздражения.<U+2651><U+FE0F> "","". 28 мартаВы сегодня, наконец, сможете найти ответ на тот вопрос, который мучил вас уже несколько дней. Правда, придется постараться, процесс удовлетворения любопытства нередко идет через тернии.<U+2652><U+FE0F> "","". 28 мартаСегодня вам будет дан зеленый свет во всех делах, которые касаются личных проблем. Кроме того, день будет удачен в финансовом отношении.<U+2653><U+FE0F> "","" 28 мартаСегодня вы будете иметь больше, чем будете хотеть. Возможно, стоит поделиться с ближним, зачем пропадать добру-то?@moygoroskop <U+262F><U+FE0F>"",""28 марта""";;;;
"10,"". 1 апреля. Да, Овны ревнивые.. Просто они не любят, когда всякие там суют свои руки к тому, что принадлежит им. Ведь если что-то принадлежит Овну — значит это принадлежит Овну! ВСЁ! ТОЧКА!<U+2649><U+FE0F>"","". 1 апреля.Тельцы иногда ненавидят себя за свой характер.Они могут безумно скучать по человеку,но никогда не скажут ему об этом.<U+264A><U+FE0F>Близнецы. 1 апреля."","" хотят слышать...“Родная, у нас с тобойвсё получится“..“Мы будем самыми счастливыми“...<U+264B><U+FE0F>Рак. 1 апреля."",""и улыбаются всем, дружат с избранными, любят единственного.<U+264C><U+FE0F>"","". 1 апреля.Предчувствие скорых перемен к лучшему в личной жизнине обманет. Скоро случится что-то очень приятное для Вас.<U+264D><U+FE0F>"","". 1 апреля.Девы ничего не хотят! Ну разве только отдохнуть..а ещё мороженое.. пирожное, шоколадку, мартини..каких нибудь конфет, туфли, сумочку, юбочку,браслетик и лето, море, солнце, пляж! А так ничего не хотят.<U+264E><U+FE0F>Весы. 1 апреля."","" хотят слышать...“Родная, у нас с тобойвсё получится“..“Мы будем самыми счастливыми“...<U+264F><U+FE0F>Скорпион. 1 апреля."",""ы, вы только вспомните, что было год назад и что есть сейчас. Со сколькими людьми вы теперь не общаетесь, хотя они клялись быть с вами до конца. Они теперь не звонят, не пишут, у них есть люди поважней. И вы забудьте и отпустите. Но не забывайте тех, кто все еще с вами и верит в вас, какие бы ни были обстоятельства и как бы ни меняла вас жизнь.<U+2650><U+FE0F>"","". 1 апреля.Стрельцы улыбаются, когда текут слезы. Обидеть ихне сложно. Часто мечтают. Всем доверяют. Многоделают глупостей. Редко влюбляются, но долго любят.<U+2651><U+FE0F>"","". 1 апреля.У Вас скоро произойдёт встреча , котораяприведёт к долгим отношениям в личной жизни.<U+2652><U+FE0F>"","". 1 апреля.Вы, воспринимаете все пустякиблизко к сердцу, по этому большевсех способны искренне любить...<U+2653><U+FE0F>Рыбы. 1 апреля."","" улыбаются всем, дружат с избранными, любят единственного.@moygoroskop <U+262F>"",""1 апреля""";;;;
